Geography,Time,Total consumption,Food and beverages,Tobacco,Clothing,"Housing and utilities","Household appliance",Health,Transport,Communications,Recreation and culture,Education,Insurance and financial services,Others
Canada,2000,"589,028.00","56,513.00","9,301.00","29,398.00","134,547.00","33,864.00","19,684.00","88,104.00","12,645.00","58,403.00","6,788.00","50,718.00","29,814.00"
Canada,2001,"615,179.00","59,751.00","10,139.00","30,566.00","139,975.00","35,838.00","21,424.00","89,487.00","13,674.00","61,417.00","7,183.00","51,954.00","31,279.00"
Canada,2002,"651,605.00","62,288.00","12,308.00","31,471.00","146,053.00","38,462.00","23,299.00","96,257.00","15,137.00","64,682.00","7,803.00","55,832.00","33,153.00"
Canada,2003,"681,207.00","64,659.00","13,409.00","31,981.00","154,067.00","40,404.00","24,612.00","99,502.00","15,790.00","66,558.00","8,516.00","57,839.00","34,498.00"
Canada,2004,"712,940.00","67,065.00","13,644.00","32,830.00","161,047.00","42,632.00","26,487.00","103,428.00","16,813.00","69,015.00","9,087.00","62,240.00","36,390.00"
Canada,2005,"752,413.00","69,294.00","13,102.00","33,901.00","169,179.00","44,640.00","28,531.00","111,023.00","18,072.00","72,091.00","9,662.00","66,978.00","38,203.00"
Canada,2006,"793,642.00","72,187.00","12,649.00","35,631.00","177,664.00","47,878.00","31,036.00","116,957.00","19,244.00","75,545.00","10,163.00","71,411.00","40,357.00"
Canada,2007,"842,029.00","75,232.00","12,597.00","37,189.00","188,917.00","50,564.00","33,570.00","124,453.00","20,175.00","79,336.00","10,689.00","77,358.00","42,606.00"
Canada,2008,"878,509.00","79,281.00","12,518.00","37,433.00","200,727.00","52,142.00","35,650.00","129,422.00","21,030.00","81,482.00","11,398.00","78,026.00","44,624.00"
Canada,2009,"881,695.00","84,033.00","12,738.00","36,824.00","206,360.00","51,526.00","37,537.00","119,711.00","22,550.00","81,703.00","12,162.00","74,669.00","45,872.00"
Canada,2010,"926,720.00","86,079.00","13,946.00","38,478.00","215,129.00","52,702.00","39,522.00","131,298.00","23,421.00","83,930.00","13,169.00","80,704.00","47,866.00"
Canada,2011,"967,084.00","88,885.00","14,297.00","39,679.00","225,005.00","53,082.00","41,070.00","141,883.00","24,744.00","85,377.00","14,114.00","84,381.00","49,873.00"
Canada,2012,"998,053.00","91,453.00","14,600.00","40,632.00","233,701.00","53,600.00","42,190.00","148,911.00","25,559.00","86,591.00","15,140.00","84,478.00","51,756.00"
Canada,2013,"1,038,086.00","94,295.00","14,781.00","42,055.00","245,355.00","54,925.00","43,764.00","157,160.00","26,839.00","87,285.00","16,227.00","88,827.00","53,371.00"
Canada,2014,"1,086,253.00","98,402.00","15,430.00","43,974.00","257,830.00","57,214.00","45,386.00","165,687.00","28,207.00","89,251.00","17,184.00","94,556.00","55,636.00"
Canada,2015,"1,122,079.00","102,409.00","15,963.00","46,569.00","267,684.00","59,377.00","47,520.00","165,448.00","29,520.00","91,336.00","18,177.00","98,811.00","57,757.00"
Canada,2016,"1,153,668.00","104,944.00","16,691.00","47,270.00","276,531.00","61,778.00","49,661.00","170,487.00","30,725.00","93,110.00","19,261.00","101,962.00","59,759.00"
Canada,2017,"1,209,153.00","108,692.00","17,148.00","48,831.00","286,309.00","64,617.00","51,921.00","186,262.00","32,825.00","96,884.00","20,510.00","107,239.00","62,452.00"
Canada,2018,"1,260,446.00","113,048.00","18,031.00","50,576.00","298,200.00","66,880.00","53,782.00","196,993.00","34,654.00","100,932.00","22,277.00","111,358.00","65,284.00"
Canada,2019,"1,300,816.00","117,486.00","18,173.00","51,876.00","313,547.00","69,308.00","55,988.00","197,707.00","35,887.00","102,828.00","23,375.00","115,325.00","68,399.00"
Canada,2020,"1,227,897.00","129,914.00","19,213.00","41,244.00","326,452.00","73,590.00","51,671.00","153,807.00","35,760.00","95,982.00","22,783.00","118,604.00","62,832.00"
Canada,2021,"1,327,635.00","132,363.00","19,686.00","48,417.00","342,656.00","81,919.00","57,077.00","178,982.00","36,407.00","105,924.00","23,569.00","129,196.00","68,243.00"
Newfoundland and Labrador,2000,"8,484.00",962,205.2,409.3,"1,820.90",509.8,251,"1,267.80",203.2,769.9,90.3,624.4,457
Newfoundland and Labrador,2001,"8,841.00","1,021.80",208.4,440.9,"1,858.40",550.4,274.2,"1,309.60",224.4,822.3,91,632.1,493.5
Newfoundland and Labrador,2002,"9,242.00","1,042.80",242.2,445.5,"1,920.90",563.9,295,"1,380.30",237.7,854.5,92.9,664.5,524
Newfoundland and Labrador,2003,"9,695.00","1,079.80",275.5,460,"2,013.10",589.4,319.8,"1,453.30",250.6,890.5,95.8,694.2,545.6
Newfoundland and Labrador,2004,"9,997.00","1,112.80",277.5,470.4,"2,111.40",612.8,342.7,"1,436.40",261.5,926.8,97.6,742.5,565.9
Newfoundland and Labrador,2005,"10,365.00","1,121.00",273.7,476.5,"2,212.10",619.6,361.3,"1,539.60",262.7,934.7,103.9,789.8,582
Newfoundland and Labrador,2006,"10,804.00","1,157.70",273.7,492.4,"2,312.40",646.2,393.5,"1,633.60",281.5,948.5,105.6,830.3,604.4
Newfoundland and Labrador,2007,"11,506.00","1,173.90",278,517.3,"2,461.50",683.2,417,"1,878.50",298.2,970.1,106,894.1,634.8
Newfoundland and Labrador,2008,"12,227.00","1,218.00",286.5,540.5,"2,623.70",730.9,444.9,"2,117.20",324.9,"1,043.10",107.2,880.5,668.7
Newfoundland and Labrador,2009,"12,642.00","1,289.80",303.2,557.2,"2,771.30",764.3,474.9,"2,051.40",358.6,"1,090.50",109.3,844,705
Newfoundland and Labrador,2010,"13,344.00","1,318.10",325.6,568.1,"2,913.70",785.4,499.2,"2,310.10",369.6,"1,119.40",112.8,895.3,737.4
Newfoundland and Labrador,2011,"14,054.00","1,373.90",317,580.4,"3,145.40",804.4,519.2,"2,487.50",399.1,"1,150.20",116.5,924,775.1
