Province,Income,Spending,Vacancy,Rate,Wage,Minority, Population
Newfoundland and Labrador,59300,14930.4,"8,185",3.7,22.3,16855,510550
Prince Edward Island,59400,4207.1,"4,090",5.4,19.5,14310,154331
Nova Scotia,57500,26161.7,"22,960",5.2,20.8,93430,969383
New Brunswick,56900,21062.6,"16,430",4.7,20.9,44210,775610
Quebec,59700,220364.2,"246,230",6.1,23.7,1340735,8501833
Ontario,70100,399266.3,"372,075",5.4,24.65,4817360,14223942
Manitoba,63000,34290.8,"32,290",5.1,21.6,290735,1342153
Saskatchewan,67700,31716.4,"25,445",5.1,22.45,159365,1132505
Alberta,77700,126489.2,"103,380",5,24.8,1161420,4262635
British Columbia,67500,149984.6,"156,645",6.2,25.45,1689485,5000879
